 it                                       1 2135560 N         
 was                                      2 1977144 V         
 careening                                3 197 V         
 from                                     4 504265 P         
 side                                     5 74297 NVA       
 to                                       6 3822732 Pv        
 on                                       7 876697 NAv       
 the                                      8 7427566 Dv        
 narrow                                   9 10253 NVA       
 road                                     10 28926 N         
 we                                       11 653694 r         
 had                                      12 1241508 V         
 better                                   13 77091 NVAv      
 climb                                    14 6184 NV        
 this                                     15 611710 Dv        
 hillside                                 16 1164 N         
 and                                      17 3512534 CN        
 fast                                     18 22858 Av!iN     
 joe                                      19 39905 N         
 cried                                    20 12580 V         
 out                                      21 478115 vP!Nti    
 as                                       22 872844 Nv        
 they                                     23 813179 r         
 started                                  24 49783 V         
 up                                       25 442153 VAv       
 steep                                    26 3095 NVA       
 embankment                               27 481 N         
 their                                    28 318768 D         
 amazement                                29 2094 N         
 reckless                                 30 878 A         
 driver                                   31 8154 N         
 suddenly                                 32 41337 v         
 pulled                                   33 39141 V         
 his                                      34 1157959 D         
 car                                      35 44868 N         
 hard                                     36 64472 Av        
 right                                    37 159797 AvNV!     
 turned                                   38 87585 VA        
 into                                     39 315504 P         
 a                                        40 3156391 N         
 two                                      41 182991 NA        
 wheels                                   42 3080 pV        
 boys                                     43 30122 p         
 expected                                 44 16810 VA        
 turn                                     45 37650 NV        
 over                                     46 218860 NAv       
 but                                      47 884181 v         
 held                                     48 45006 A         
 dusty                                    49 3251 A         
 ground                                   50 38579 NV        
 sped                                     51 1901 V         
 off                                      52 152511 VAv       
 of                                       53 2949562 P         
 sight                                    54 18666 NV        
 let                                      55 120169 NV        
 us                                       56 221908 N         
 get                                      57 224069 NV        
 away                                     58 139941 vAN!      
 here                                     59 183452 NAv       
 before                                   60 175080 v         
 crazy                                    61 12624 NA        
 guy                                      62 23113 NV        
 comes                                    63 20939 pV        
 back                                     64 292417 NVAv      
 that                                     65 1697539 DCvr      
 is                                       66 1464691 p         
 dead                                     67 46445 NAv       
 end                                      68 65199 NV        
 you                                      69 1627498 rN        
 know                                     70 277531 NV        
 rode                                     71 5816 VN        
 in                                       72 1968621 NAv       
 silence                                  73 19818 NV        
 for                                      74 979108 PC        
 while                                    75 85406 N         
 gazing                                   76 2178 V         
 at                                       77 745589 N         
 scene                                    78 10487 N         
 ahead                                    79 21349 Av        
 opposite                                 80 9113 NAv       
 rose                                     81 22830 NA        
 jagged                                   82 1872 VA        
 cliff                                    83 3822 N         
 little                                   84 148246 NAv       
 traveled                                 85 3652 VA        
 winding                                  86 1810 NVA       
 just                                     87 303213 Av        
 wide                                     88 19087 Av        
 enough                                   89 88189 NAv       
 cars                                     90 8857 p         
 pass                                     91 15134 AVtiN!    
 boy                                      92 41326 N!        
 i                                        93 2672349 Nr        
 hate                                     94 9628 NV        
 fall                                     95 21471 NV        
 edge                                     96 19389 NV        
 frank                                    97 44347 NVA       
 remarked                                 98 3455 V         
 hundred                                  99 31199 NA        
 foot                                     100 19418 NV        
 drop                                     101 10694 NV        
 would                                    102 547531 V         
 sure                                     103 77835 Av        
 be                                       104 743257 NV        
 smashed                                  105 2841 VA        
 bits                                     106 4147 p         
 ever                                     107 82831 v         
 got                                      108 143955 V         
 bottom                                   109 13218 NVA       
 reached                                  110 36268 V         
 jacket                                   111 6268 NV        
 pocket                                   112 13776 NV        
 several                                  113 34873 A         
 important                                114 32962 A         
 legal                                    115 5209 A         
 papers                                   116 9064 NV        
 which                                    117 187022 Dr        
 he                                       118 2152790 rN       
 deliver                                  119 3166 V         
 mr                                       120 26370 N         
 hardy                                    121 4418 NA        
 were                                     122 597877 V         
 still                                    123 155198 NVAv      
 there                                    124 535661 vrN!      
 relieved                                 125 4686 VA        
 find                                     126 88500 NV        
 them                                     127 403681 rD        
 chuckled                                 128 1642 V         
 said                                     129 589357 A         
 after                                    130 160826 AAv       
 help                                     131 63927 VtN!      
 gave                                     132 52881 V         
 dad                                      133 23728 N         
 latest                                   134 2519 NAA       
 case                                     135 41168 NV        
 ought                                    136 12200 VNv       
 set                                      137 48499 NVA       
 firm                                     138 6318 NVAv      
 sons                                     139 5685 p         
 replied                                  140 22212 V         
 with                                     141 874103 P         
 broad                                    142 6334 NA        
 grin                                     143 5946 NV        
 not                                      144 1575422 v         
 one                                      145 498196 NA        
 most                                     146 106097 Av        
 famous                                   147 5586 A         
 private                                  148 12219 NA        
 detectives                               149 2240 p         
 country                                  150 26942 N         
 are                                      151 535530 N         
 bright                                   152 17065 Av        
 too                                      153 180011 v         
 then                                     154 351272 NAv       
 becoming                                 155 7114 VA        
 serious                                  156 14331 A         
 added                                    157 20655 V         
 wish                                     158 22483 NV        
 could                                    159 445624 V         
 solve                                    160 3381 V         
 mystery                                  161 7081 N         
 our                                      162 189052 D         
 own                                      163 106493 VA        
 though                                   164 93577 v         
 even                                     165 206330 NVAv      
 dark                                     166 55570 NA        
 other                                    167 198119 A         
 fair                                     168 9905 NVAv      
 marked                                   169 4892 VA        
 resemblance                              170 1522 N         
 between                                  171 61925 v         
 brothers                                 172 11398 p         
 eighteen                                 173 4053 NA        
 year                                     174 40130 N         
 old                                      175 105464 NA        
 tall                                     176 15220 NA        
 younger                                  177 7877 A        
 blond                                    178 4816 NA        
 blue                                     179 30355 NVA       
 eyes                                     180 138845 NV        
 took                                     181 99525 V         
 next                                     182 74393 Av        
 curve                                    183 2396 NV        
 neatly                                   184 2465 v         
 long                                     185 142229 VAv       
 slope                                    186 3771 NV        
 mere                                     187 5451 NA        
 ribbon                                   188 1434 N         
 badly                                    189 7016 v         
 need                                     190 83597 NV        
 repair                                   191 1746 NV        
 above                                    192 31875 NAv       
 sharp                                    193 12410 NAv       
 put                                      194 94204 NV        
 motors                                   195 468 pV        
 heard                                    196 66414 A         
 roar                                     197 3889 NV        
 approaching                              198 4336 NVA       
 rear                                     199 5907 NVA       
 great                                    200 72721 NA        
 speed                                    201 11406 NV        
 moment                                   202 72997 N         
 glance                                   203 7156 NV        
 looks                                    204 22862 pV        
 like                                     205 358174 NVA       
 same                                     206 87746 NA        
 saw                                      207 89313 NV        
 hopped                                   208 1598 V         
 stood                                    209 51147 V         
 poised                                   210 1303 VA        
 leap                                     211 2836 NV        
 danger                                   212 10333 N         
 again                                    213 155611 v         
 if                                       214 467081 CN        
 necessary                                215 13336 NA        
 hurtled                                  216 480 V         
 toward                                   217 54675 AP        
 shot                                     218 20815 NA        
 been                                     219 346019 V         
 traveling                                220 5045 NV        
 such                                     221 93421 Av        
 high                                     222 50054 NAv       
 unable                                   223 8374 A         
 license                                  224 2209 NV        
 number                                   225 27307 NVA       
 or                                       226 392852 N         
 glimpse                                  227 2854 NV        
 drivers                                  228 3843 p         
 features                                 229 5253 pV        
 noted                                    230 4891 VA        
 hatless                                  231 53 A         
 shock                                    232 8494 NV        
 red                                      233 39591 NA        
 hair                                     234 46678 N         
 must                                     235 101652 NA        
 practicing                               236 1228 V         
 some                                     237 221455 Av        
 kind                                     238 58128 NA        
 race                                     239 8589 NV        
 sedan                                    240 806 N         
 disappeared                              241 10059 V         
 around                                   242 152217 v         
 resumed                                  243 1838 V         
 journey                                  244 7471 NV        
 probably                                 245 41139 v         
 halfway                                  246 5086 Av        
 across                                   247 55080 v         
 state                                    248 27533 NV        
 by                                       249 357113 v         
 time                                     250 294052 NV        
 unless                                   251 12854 CP        
 jail                                     252 4425 NV        
 do                                       253 625489 NV        
 crave                                    254 385 V         
 going                                    255 172731 NVA       
 bumpy                                    256 338 A         
 stretch                                  257 3924 NVA       
 worked                                   258 23735 V         
 daily                                    259 5512 NAv       
 soup                                     260 2781 NV        
 engine                                   261 5584 N         
 retraced                                 262 251 V         
 trip                                     263 11152 NV        
 few                                      264 96218 NA        
 miles                                    265 14101 p         
 onto                                     266 25139 P         
 led                                      267 18958 N         
 main                                     268 12583 NA        
 highway                                  269 3317 N         
 morton                                   270 392 N         
 farm                                     271 5596 NV        
 situated                                 272 578 VA        
 somebody                                 273 12876 N         
 else                                     274 59088 N         
 crack                                    275 5674 NVA       
 among                                    276 25346 P         
 bushes                                   277 2805 pV        
 an                                       278 363057 N         
 overturned                               279 708 VA        
 total                                    280 6650 NVA       
 wreck                                    281 1434 NV        
 lay                                      282 25904 NVA       
 upward                                   283 4429 Av        
 mass                                     284 7879 NVA       
 tangled                                  285 2039 VA        
 junk                                     286 1367 NV        
 see                                      287 214571 NV        
 anyone                                   288 41287 r         
 underneath                               289 3899 v         
 made                                     290 145209 A         
 way                                      291 202968 Nv        
 down                                     292 242697 NVAv      
 culvert                                  293 143 N         
 hearts                                   294 3765 N         
 pounding                                 295 3759 NV        
 close                                    296 43844 NVAv      
 look                                     297 115243 NV        
 immediate                                298 4516 A         
 vicinity                                 299 778 N         
 proved                                   300 6222 VA        
 no                                       301 381290 NAv       
 victim                                   302 4321 N         
 maybe                                    303 68047 v         
 happened                                 304 41101 V         
 ago                                      305 27202 Av        
 stepped                                  306 18986 V         
 forward                                  307 30271 NVAv      
 laid                                     308 9824 A         
 hand                                     309 116156 NV        
 exposed                                  310 3875 VA        
 warm                                     311 17342 VAv       
 accident                                 312 6764 N         
 occurred                                 313 7125 V         
 short                                    314 28790 NVAv      
 did                                      315 440304 V         
 rescue                                   316 3711 NV        
 him                                      317 597597 r         
 what                                     318 530932 Dvr!      
 thing                                    319 99585 N         
 can                                      320 267621 NV        
 tell                                     321 107844 NV        
 either                                   322 39572 v         
 removed                                  323 7637 VA        
 plates                                   324 2654 pVV       
 avoid                                    325 9399 V         
 identification                           326 1167 N         
 completely                               327 16994 v         
 puzzled                                  328 3071 VA        
 whole                                    329 44533 NAv       
 affair                                   330 3078 N         
 plump                                    331 1042 NVAv      
 who                                      332 262601 N         
 loved                                    333 22049 VA        
 eat                                      334 21201 V         
 rarely                                   335 4954 v         
 without                                  336 84788 PvC       
 apple                                    337 3529 N         
 cookies                                  338 1478 p         
 round                                    339 18597 NVAv      
 freckled                                 340 262 VA        
 face                                     341 111783 NV        
 usually                                  342 16777 v         
 wore                                     343 13364 V         
 smile                                    344 29968 NV        
 me                                       345 595054 N         
 meet                                     346 21256 NVA       
 fellow                                   347 9992 N         
 driving                                  348 8245 NVA       
 queen                                    349 10792 NV        
 have                                     350 809549 NV        
 seen                                     351 60481 V         
 strange                                  352 21085 A         
 part                                     353 56565 NVv       
 she                                      354 1148547 rN        
 locked                                   355 10480 V         
 although                                 356 25903 C         
 garage                                   357 3884 NV        
 door                                     358 101462 N         
 open                                     359 59493 NVA       
 cannot                                   360 106317 V         
 how                                      361 238668 vN!       
 professional                             362 5134 NA        
 job                                      363 30512 NV        
 commented                                364 1748 V         
 auto                                     365 631 N         
 thieves                                  366 2250 pV        
 always                                   367 97666 v         
 carry                                    368 12005 NV        
 scores                                   369 1544 NV        
 keys                                     370 4375 pV        
 more                                     371 293955 NAv       
 than                                     372 204375 CP        
 fifteen                                  373 9602 NA        
 minutes                                  374 34980 N         
 because                                  375 156994 C         
 when                                     376 372991 vCrN      
 came                                     377 119437 VN        
 home                                     378 74767 NVAv      
 well                                     379 189754 vA!NV     
