True\Class,RBS,WRB,NNP,MD,VBZ,RP,VBG,WDT,JJS,NN,RBR,IN,VBN,VBD,VB,JJR,NNPS,CD,JJ,PRP$,WP,VBP,CC,NNS,FW,UH,RB,PRP,DT
RBS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NNP,1,0,251,0,1,0,2,1,3,13,1,0,0,1,2,0,4,2,28,5,6,0,1,7,10,6,4,91,4
MD,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VBZ,0,2,2,11,471,1,9,0,0,9,10,90,3,199,0,0,1,0,3,2,0,13,16,45,2,1,3,2,4
RP,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBG,3,3,28,0,4,40,794,3,8,14,92,349,241,25,10,29,1,10,208,3,0,1,32,47,5,2,92,26,19
WDT,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,0,0,0,0,0,0,0,126,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
NN,23,9,1495,0,7,12,132,9,191,7996,152,6,85,10,79,33,466,24,1065,37,14,17,50,1995,443,46,48,253,16
RBR,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,13,0,0,1,1,2,1,0,0,1,53,0,0,0,0,0,1,0,0,2,1,5,0,0,4,0,0,0
VBN,0,0,4,0,35,16,105,1,0,4,47,12,1024,222,4,49,1,14,146,1,0,29,20,4,5,0,22,7,2
VBD,0,0,1,7,208,1,34,0,0,0,4,58,85,909,2,2,0,0,5,0,0,90,2,2,1,0,4,1,1
VB,0,0,8,0,0,7,19,0,0,46,30,8,82,37,1852,2,0,1,3,0,1,123,0,21,5,3,32,13,1
JJR,0,0,1,0,0,0,0,0,0,0,21,0,0,0,1,71,0,1,18,0,0,0,1,0,0,0,0,0,0
NNPS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CD,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,1
JJ,0,0,60,0,3,19,42,3,422,100,287,2,122,6,2,551,6,77,3951,53,3,2,21,25,36,7,67,15,43
PRP$,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
VBP,0,0,2,5,3,0,1,0,0,2,2,0,2,10,22,0,0,0,0,0,0,44,0,2,0,2,1,0,0
CC,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
NNS,2,2,257,2,32,16,19,4,109,1153,58,1,5,14,1,4,341,16,137,174,10,1,25,3294,139,11,10,24,136
FW,0,0,3,0,0,0,1,0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,2,0,0,0
UH,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,20,0,0,0
RB,8,1,5,5,3,103,77,2,1,4,68,3,11,8,4,14,2,25,34,0,7,15,20,8,16,39,848,14,25
PRP,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,15,0
DT,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
